# width: 200
# set_dx: 0.01
# set_courant: 0.5
# set_time: 100
k,Hy,Ez,mu_r,eps_r,sigma_m,sigma_e,ch1,ch2,ce1,ce2
13,5.1427679120639481e-41,1.0194374480988611e-38,1,1,1786.6833456649176,0.01572318429614129,0.9765648307514907,0.0013116576759598032,0.97081518262059663,185.61645548202168
14,1.8756356635461823e-39,3.7645084645639299e-37,1,1,1082.4194506508904,0.0099014804896983052,0.98573648234306976,0.0013177440268976319,0.9815213825326814,186.62479299478667
15,6.149504686224601e-38,1.2478301042287072e-35,1,1,592.85032270811359,0.0057300234315383718,0.99216246927873109,0.0013220083419145964,0.98926456810809282,187.35406617743803
16,1.8260575943309325e-36,3.7414931537475287e-34,1,1,278.94054964181464,0.0029337719969476472,0.99630471510863483,0.0013247571556413084,0.99448902316853427,187.8461188258527
17,4.9422086346073237e-35,1.0214938152593654e-32,1,1,101.65471925722109,0.0012376850612122881,0.9986517385646565,0.0013263146513954841,0.99767134706611926,188.14583829588437
18,1.2256023481344687e-33,2.5534955411131037e-31,1,1,21.957419359559751,0.0003667214996184559,0.99970862153105944,0.0013270160038803133,0.99930946297514067,188.30012027594145
19,2.796739078198447e-32,5.8711104832279817e-30,1,1,0.81323775405776899,4.5840187452306988e-05,0.99998920669062474,0.0013272022015059003,0.99991365678674893,188.35702480698217
20,5.89191758479145e-31,1.2460979473603269e-28,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
21,1.1486932274139438e-29,2.4478593920124755e-27,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
22,2.0764315560418883e-28,4.4593480792345791e-26,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
23,3.4858163329119779e-27,7.5460214811701128e-25,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
24,5.442143256496046e-26,1.1877803175865545e-23,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
25,7.9109285272731588e-25,1.7411805671849121e-22,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
26,1.0717824955646064e-23,2.3794463439392076e-21,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
27,1.3544406488020916e-22,3.033824212650084e-20,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
28,1.5975985928827861e-21,3.6113834043245337e-19,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
29,1.7597126839176826e-20,4.0155412230502753e-18,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
30,1.8106270430149495e-19,4.1721106057751381e-17,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
31,1.7406555040832038e-18,4.0513530227445986e-16,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
32,1.5635599696042113e-17,3.6771119959501734e-15,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
33,1.3121807536398066e-16,3.1192138487479314e-14,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
